Risk Ref,Risk Title,Description,Likelihood Score,Impact Score,Risk Score,Risk Category,Risk Owner,Business Unit,Assessed By,Assessment Date,Response,Existing Controls,Freq Min (per yr),Freq Max (per yr),Loss Min (GBP),Loss Max (GBP)
RR-001,Ransomware encrypts a production file estate,An operator gains domain privilege from an unpatched edge device and encrypts shared storage across the estate.,2,5,10,Ransomware,Head of Payments Operations,Corporate IT,R. Delacroix,2025-03-04,Mitigate,EDR on servers; offline backups tested quarterly; network segmentation between zones.,0.039,0.23,30865500,3968500
RR-002,Ransomware encrypts a production file estate,An operator gains domain privilege from an unpatched edge device and encrypts shared storage across the estate.,2,5,10,Ransomware,Head of Payments Operations,Retail Banking,A. Okafor,2025-07-09,Mitigate,EDR on servers; offline backups tested quarterly; network segmentation between zones.,0.022,0.13,3563500,27716500
RR-003,Ransomware encrypts a production file estate,An operator gains domain privilege from an unpatched edge device and encrypts shared storage across the estate.,1,5,5,Ransomware,Head of Technology Risk,Platform Engineering,J. Lindqvist,2025-06-09,Mitigate,EDR on servers; offline backups tested quarterly; network segmentation between zones.,0.043,0.26,3419500,26597500
RR-004,Ransomware encrypts a production file estate,An operator gains domain privilege from an unpatched edge device and encrypts shared storage across the estate.,2,5,10,Ransomware,Data Protection Officer,Payments,M. Reyes,2025-04-04,Mitigate,EDR on servers; offline backups tested quarterly; network segmentation between zones.,0.041,0.25,4267500,33192000
RR-005,Ransomware encrypts a production file estate,An operator gains domain privilege from an unpatched edge device and encrypts shared storage across the estate.,3,5,9,Ransomware,Head of Customer Operations,Digital Channels,S. Banerjee,2025-05-15,Mitigate,EDR on servers; offline backups tested quarterly; network segmentation between zones.,0.026,0.15,1949500,15163500
RR-006,Ransomware in a managed service provider reaches our tenancy,A provider with standing access is compromised and the intrusion follows the trust path inward.,3,5,15,Ransomware,Group Head of Fraud,Corporate IT,A. Okafor,2025-04-10,Mitigate,Provider access reviewed annually; no standing admin on production.,,,,
RR-007,Ransomware in a managed service provider reaches our tenancy,A provider with standing access is compromised and the intrusion follows the trust path inward.,2,4,8,Ransomware,Chief Information Security Officer,Customer Operations,R. Delacroix,2025-07-10,Mitigate,Provider access reviewed annually; no standing admin on production.,,,,
RR-008,Ransomware in a managed service provider reaches our tenancy,A provider with standing access is compromised and the intrusion follows the trust path inward.,3,4,12,Ransomware,Data Protection Officer,Retail Banking,,2025-01-25,Mitigate,Provider access reviewed annually; no standing admin on production.,,,,
RR-009,Ransomware in a managed service provider reaches our tenancy,A provider with standing access is compromised and the intrusion follows the trust path inward.,3,4,12,Ransomware,Director of Engineering,Digital Channels,A. Okafor,2025-07-18,Mitigate,Provider access reviewed annually; no standing admin on production.,,,,
RR-010,Backup repository encrypted alongside primary storage,Backups reachable from the same identity plane as the systems they protect.,1,5,5,Ransomware,Director of Engineering,Platform Engineering,J. Lindqvist,25/03/2025,Mitigate,Immutable snapshots on the primary tier only.,,,,
RR-011,Backup repository encrypted alongside primary storage,Backups reachable from the same identity plane as the systems they protect.,1,5,5,Ransomware,Head of Infrastructure,Data Platform,T. Novak,2025-06-05,Mitigate,Immutable snapshots on the primary tier only.,,,,
RR-012,Backup repository encrypted alongside primary storage,Backups reachable from the same identity plane as the systems they protect.,2,,10,Ransomware,Director of Engineering,Corporate IT,R. Delacroix,2025-06-09,Mitigate,Immutable snapshots on the primary tier only.,,,,
RR-013,Privileged identity compromise in the cloud control plane,A long-lived administrative principal is used from an unrecognised location and creates further principals.,1,5,5,Identity & access,Group Head of Fraud,Platform Engineering,J. Lindqvist,05/08/2025,Mitigate,Hardware MFA for admins; 90-day credential rotation; break-glass audited.,0.16,0.97,1042000,8103500
RR-014,Privileged identity compromise in the cloud control plane,A long-lived administrative principal is used from an unrecognised location and creates further principals.,4,5,20,Identity & access,Head of Customer Operations,Group Security,A. Okafor,2025-02-06,Mitigate,Hardware MFA for admins; 90-day credential rotation; break-glass audited.,0.15,,2288500,17800000
RR-015,Privileged identity compromise in the cloud control plane,A long-lived administrative principal is used from an unrecognised location and creates further principals.,5,5,25,Identity & access,Head of Technology Risk,Data Platform,A. Okafor,2025-03-06,Mitigate,Hardware MFA for admins; 90-day credential rotation; break-glass audited.,0.11,0.68,1532500,11920500
RR-016,Privileged identity compromise in the cloud control plane,A long-lived administrative principal is used from an unrecognised location and creates further principals.,2,5,8.5,Identity & access,Data Protection Officer,Payments,M. Reyes,2025-03-01,Mitigate,Hardware MFA for admins; 90-day credential rotation; break-glass audited.,0.039,0.24,760000,5911000
RR-017,Privileged identity compromise in the cloud control plane,A long-lived administrative principal is used from an unrecognised location and creates further principals.,4,5,20,Identity & access,Head of Payments Operations,Corporate IT,R. Delacroix,2025-03-02,Mitigate,Hardware MFA for admins; 90-day credential rotation; break-glass audited.,0.18,1.1,1882500,14641000
RR-018,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,5,2,10,Identity & access,Chief Information Security Officer,Corporate IT,A. Okafor,2025-07-23,Mitigate,Quarterly access recertification.,3.4,15,5000,59000
RR-019,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,5,2,10,Identity & access,Chief Information Security Officer,Customer Operations,A. Okafor,2025-05-17,Mitigate,Quarterly access recertification.,2.5,11,6500,73000
RR-020,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,4,2,8,Identity & access,Data Protection Officer,Retail Banking,S. Banerjee,Q2 2025,Mitigate,Quarterly access recertification.,2.9,13,9500,104000
RR-021,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,4,2,8,Identity & access,Data Protection Officer,Digital Channels,S. Banerjee,2025-09-10,Mitigate,Quarterly access recertification.,1.6,7.1,9000,99000
RR-022,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,4,2,8,Identity & access,Director of Engineering,Payments,M. Reyes,2025-08-11,Mitigate,Quarterly access recertification.,1,4.5,9000,99500
RR-023,Joiner-mover-leaver failure leaves access after departure,Access is not revoked on departure because the leaver process depends on a manual ticket.,4,3,12,Identity & access,Group Head of Fraud,Data Platform,T. Novak,2025-08-27,Mitigate,Quarterly access recertification.,1.3,6.1,3000,31000
RR-024,Federated single sign-on trust misconfiguration,A relying party accepts assertions from an issuer that should not be trusted for it.,4,4,10,Identity & access,Data Protection Officer,Digital Channels,A. Okafor,2025-05-02,Mitigate,Change review on federation metadata.,,,,
RR-025,Federated single sign-on trust misconfiguration,A relying party accepts assertions from an issuer that should not be trusted for it.,4,5,20,Identity & access,Head of Infrastructure,Group Security,A. Okafor,2025-04-12,Mitigate,Change review on federation metadata.,,,,
RR-026,Federated single sign-on trust misconfiguration,A relying party accepts assertions from an issuer that should not be trusted for it.,2,4,8,Identity & access,Head of Customer Operations,Corporate IT,R. Delacroix,2025-07-27,Mitigate,Change review on federation metadata.,,,,
RR-027,Federated single sign-on trust misconfiguration,A relying party accepts assertions from an issuer that should not be trusted for it.,2,4,8,Identity & access,Group Head of Fraud,Retail Banking,S. Banerjee,21/05/2025,Mitigate,Change review on federation metadata.,,,,
RR-028,Service account with no owner retains production write access,An account created for a migration is still live and is not attributable to anyone.,7,3,15,Identity & access,Director of Engineering,Platform Engineering,A. Okafor,2025-02-09,Mitigate,None recorded.,,,,
RR-029,Service account with no owner retains production write access,An account created for a migration is still live and is not attributable to anyone.,4,4,16,Identity & access,Head of Infrastructure,Data Platform,T. Novak,15/08/2025,Mitigate,None recorded.,,,,
RR-030,Service account with no owner retains production write access,An account created for a migration is still live and is not attributable to anyone.,4,4,16,Identity & access,Group Head of Fraud,Corporate IT,R. Delacroix,2025-03-24,Mitigate,None recorded.,,,,
RR-031,Service account with no owner retains production write access,An account created for a migration is still live and is not attributable to anyone.,3,3,9,Identity & access,Head of Customer Operations,Digital Channels,S. Banerjee,2025-07-03,Mitigate,None recorded.,,,,
RR-032,Service account with no owner retains production write access,An account created for a migration is still live and is not attributable to anyone.,4,3,12,Identity & access,Head of Infrastructure,Payments,A. Okafor,2025-04-03,Mitigate,None recorded.,,,,
RR-033,Object storage bucket exposed to the public internet,A bucket policy is widened during an incident and not narrowed afterwards.,3,5,15,Cloud configuration,Director of Engineering,Data Platform,T. Novak,03/09/2025,Mitigate,Preventive policy in two of five accounts; daily posture scan.,0.65,4.1,88500,1327000
RR-034,Object storage bucket exposed to the public internet,A bucket policy is widened during an incident and not narrowed afterwards.,2,4,8,Cloud configuration,Data Protection Officer,Platform Engineering,,07/07/2025,Mitigate,Preventive policy in two of five accounts; daily posture scan.,0.88,5.5,89500,1339500
RR-035,Object storage bucket exposed to the public internet,A bucket policy is widened during an incident and not narrowed afterwards.,3,5,15,Cloud configuration,Head of Infrastructure,Digital Channels,S. Banerjee,2025-07-11,Mitigate,Preventive policy in two of five accounts; daily posture scan.,0.26,1.6,99500,1489500
RR-036,Object storage bucket exposed to the public internet,A bucket policy is widened during an incident and not narrowed afterwards.,3,4,12,Cloud configuration,Head of Technology Risk,Customer Operations,R. Delacroix,2025-09-28,Mitigate,Preventive policy in two of five accounts; daily posture scan.,0.86,5.4,98000,1467500
RR-037,Security group opens a database port to the whole internet,A troubleshooting rule is applied directly in the console and outlives its purpose.,1,4,4,Cloud configuration,Head of Customer Operations,Platform Engineering,J. Lindqvist,27/05/2025,Mitigate,Drift detection on the production account only.,,,,
RR-038,Security group opens a database port to the whole internet,A troubleshooting rule is applied directly in the console and outlives its purpose.,2,5,10,Cloud configuration,Head of Infrastructure,Data Platform,T. Novak,2025-04-27,Mitigate,Drift detection on the production account only.,,,,
RR-039,Security group opens a database port to the whole internet,A troubleshooting rule is applied directly in the console and outlives its purpose.,3,N/A,12,Cloud configuration,Head of Infrastructure,Digital Channels,S. Banerjee,2025-09-27,Mitigate,Drift detection on the production account only.,,,,
RR-040,Security group opens a database port to the whole internet,A troubleshooting rule is applied directly in the console and outlives its purpose.,3,5,15,Cloud configuration,Group Head of Fraud,Corporate IT,R. Delacroix,2025-06-25,Mitigate,Drift detection on the production account only.,,,,
RR-041,Infrastructure-as-code pipeline deploys an unreviewed module,A third-party module version is pinned by tag rather than digest and the tag moves.,2,3,6,Cloud configuration,Head of Infrastructure,Platform Engineering,J. Lindqvist,18/01/2025,Mitigate,Plan review on production changes.,,,,
RR-042,Infrastructure-as-code pipeline deploys an unreviewed module,A third-party module version is pinned by tag rather than digest and the tag moves.,3,4,12,Cloud configuration,Head of Payments Operations,Digital Channels,S. Banerjee,2025-07-14,Mitigate,Plan review on production changes.,,,,
RR-043,Infrastructure-as-code pipeline deploys an unreviewed module,A third-party module version is pinned by tag rather than digest and the tag moves.,3,5,15,Cloud configuration,Head of Infrastructure,Data Platform,T. Novak,2025-07-26,Mitigate,Plan review on production changes.,,,,
RR-044,Key management policy permits decryption from outside the workload,A key policy grants decrypt to a role reachable from a lower-trust account.,3,5,15,Cloud configuration,Head of Payments Operations,Data Platform,T. Novak,2025-04-18,Mitigate,Annual key policy review.,,,,
RR-045,Key management policy permits decryption from outside the workload,A key policy grants decrypt to a role reachable from a lower-trust account.,2,5,6,Cloud configuration,Head of Customer Operations,Group Security,A. Okafor,20/05/2025,Mitigate,Annual key policy review.,,,,
RR-046,Key management policy permits decryption from outside the workload,A key policy grants decrypt to a role reachable from a lower-trust account.,1,4,4,Cloud configuration,Group Head of Fraud,Platform Engineering,J. Lindqvist,2025-08-13,Mitigate,Annual key policy review.,,,,
RR-047,Bulk customer record extraction through a reporting interface,A reporting endpoint permits unbounded exports and is used at a rate no human workflow requires.,4,,20,Data exfiltration,Data Protection Officer,Data Platform,T. Novak,17/05/2025,Mitigate,Rate limits on the public API; no limit on the internal reporting path.,0.57,3.4,522500,5016000
RR-048,Bulk customer record extraction through a reporting interface,A reporting endpoint permits unbounded exports and is used at a rate no human workflow requires.,3,4,12,Data exfiltration,Chief Information Security Officer,Customer Operations,A. Okafor,2025-01-14,Mitigate,Rate limits on the public API; no limit on the internal reporting path.,0.43,2.6,383000,3676500
RR-049,Bulk customer record extraction through a reporting interface,A reporting endpoint permits unbounded exports and is used at a rate no human workflow requires.,3,4,12,Data exfiltration,Data Protection Officer,Retail Banking,S. Banerjee,2025-05-08,Mitigate,Rate limits on the public API; no limit on the internal reporting path.,0.58,3.5,436500,4190000
RR-050,Bulk customer record extraction through a reporting interface,A reporting endpoint permits unbounded exports and is used at a rate no human workflow requires.,3,5,15,Data exfiltration,Head of Payments Operations,Digital Channels,S. Banerjee,2025-03-21,Mitigate,Rate limits on the public API; no limit on the internal reporting path.,0.58,3.5,162500,1558500
RR-051,Regulated data copied into a non-production environment,Production data is used to reproduce a defect and is not removed afterwards.,4,4,16,Data exfiltration,Data Protection Officer,Data Platform,T. Novak,2025-04-28,Mitigate,Masking available but optional.,1.4,5.5,32000,255500
RR-052,Regulated data copied into a non-production environment,Production data is used to reproduce a defect and is not removed afterwards.,4,3,12,Data exfiltration,Chief Information Security Officer,Platform Engineering,J. Lindqvist,2025-06-24,Mitigate,Masking available but optional.,3.6,14,31500,253000
RR-052,Regulated data copied into a non-production environment,Production data is used to reproduce a defect and is not removed afterwards.,3,3,9,Data exfiltration,Group Head of Fraud,Digital Channels,S. Banerjee,2025-08-11,Mitigate,Masking available but optional.,5.2,21,18500,148000
RR-054,Regulated data copied into a non-production environment,Production data is used to reproduce a defect and is not removed afterwards.,3,3,9,Data exfiltration,Head of Payments Operations,Retail Banking,S. Banerjee,2025-03-05,Mitigate,Masking available but optional.,2.5,10,13000,106000
RR-055,Departing employee takes a customer list,A sales contact export is taken in the notice period.,3,2,6,Data exfiltration,Head of Payments Operations,Retail Banking,S. Banerjee,2025-02-08,Mitigate,DLP alerting on email; no control on personal cloud storage.,,,,
RR-056,Departing employee takes a customer list,A sales contact export is taken in the notice period.,5,2,10,Data exfiltration,Head of Payments Operations,Customer Operations,A. Okafor,2025-01-13,Mitigate,DLP alerting on email; no control on personal cloud storage.,,,,
RR-057,Critical supplier suffers a breach affecting shared data,A processor holding customer records is compromised.,4,5,20,Third party,Head of Customer Operations,Customer Operations,A. Okafor,2025-02-20,Transfer,Contractual notification within 24 hours; annual assurance questionnaire.,0.63,2.8,199500,2658500
RR-058,Critical supplier suffers a breach affecting shared data,A processor holding customer records is compromised.,5,4,20,Third party,Head of Technology Risk,Retail Banking,A. Okafor,2025-09-22,Transfer,Contractual notification within 24 hours; annual assurance questionnaire.,0.3,1.3,191000,2546500
RR-059,Critical supplier suffers a breach affecting shared data,A processor holding customer records is compromised.,3,5,15,Third party,Director of Engineering,Group Security,,2025-04-07,Transfer,Contractual notification within 24 hours; annual assurance questionnaire.,0.63,2.8,148500,1982500
RR-060,Critical supplier suffers a breach affecting shared data,A processor holding customer records is compromised.,3,4,12,Third party,Director of Engineering,Payments,M. Reyes,2025-09-19,Transfer,Contractual notification within 24 hours; annual assurance questionnaire.,0.6,2.6,261000,3477000
RR-061,Critical supplier suffers a breach affecting shared data,A processor holding customer records is compromised.,4,4,16,Third party,Data Protection Officer,Digital Channels,S. Banerjee,06/05/2025,Transfer,Contractual notification within 24 hours; annual assurance questionnaire.,1,4.5,230000,3066000
RR-062,Software supply chain compromise in a build dependency,A transitive dependency ships a malicious version that reaches the build.,4,4,16,Third party,Head of Customer Operations,Platform Engineering,A. Okafor,23/04/2025,Mitigate,Lockfiles; no provenance verification.,,,,
RR-063,Software supply chain compromise in a build dependency,A transitive dependency ships a malicious version that reaches the build.,1,4,4,Third party,Head of Technology Risk,Digital Channels,S. Banerjee,2025-08-25,Mitigate,Lockfiles; no provenance verification.,,,,
RR-064,Single-source provider fails with no contracted alternative,A niche provider in the payment path has no substitute inside the notice period.,,4,8,Third party,Data Protection Officer,Payments,M. Reyes,19/05/2025,Accept,None recorded.,,,,
RR-065,Offshore support centre loses access to case systems,A provider outage removes the ability to service customers for a working day.,3,2,6,Third party,Chief Information Security Officer,Customer Operations,R. Delacroix,2025-03-05,Mitigate,Second site contracted but untested.,,,,
RR-066,Credential stuffing against the payments API edge,Lists from unrelated breaches are replayed against the login path at a rate the edge absorbs.,3,4,12,API abuse,Head of Payments Operations,Payments,M. Reyes,2025-08-25,Mitigate,Velocity limits; bot scoring in monitor mode only.,3.2,9.5,102000,306000
RR-067,Credential stuffing against the payments API edge,Lists from unrelated breaches are replayed against the login path at a rate the edge absorbs.,5,3,15,API abuse,Chief Information Security Officer,Digital Channels,A. Okafor,2025-07-13,Mitigate,Velocity limits; bot scoring in monitor mode only.,2.8,8.3,165500,496000
RR-068,Credential stuffing against the payments API edge,Lists from unrelated breaches are replayed against the login path at a rate the edge absorbs.,3,3,5,API abuse,Head of Infrastructure,Retail Banking,S. Banerjee,2025-05-07,Mitigate,Velocity limits; bot scoring in monitor mode only.,4,12,140500,421500
RR-069,Enumeration of account identifiers through a public endpoint,Response differences allow valid identifiers to be discovered at scale.,4,2,8,API abuse,Head of Technology Risk,Digital Channels,S. Banerjee,2025-03-10,Mitigate,Uniform error responses on two of six endpoints.,,,,
RR-070,Enumeration of account identifiers through a public endpoint,Response differences allow valid identifiers to be discovered at scale.,5,3,15,API abuse,Head of Technology Risk,Payments,A. Okafor,2025-02-03,Mitigate,Uniform error responses on two of six endpoints.,,,,
RR-071,Business logic abuse of a refund workflow,A sequence of legitimate calls produces a refund without a matching debit.,4,3,12,API abuse,Data Protection Officer,Payments,M. Reyes,2025-07-07,Mitigate,Reconciliation daily; no preventive control.,1.7,5.6,40500,242000
RR-072,Business logic abuse of a refund workflow,A sequence of legitimate calls produces a refund without a matching debit.,4,3,12,API abuse,Head of Payments Operations,Retail Banking,S. Banerjee,2025-03-14,Mitigate,Reconciliation daily; no preventive control.,1.2,4.1,44500,267000
RR-073,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,2,10,Credential compromise,Data Protection Officer,Corporate IT,R. Delacroix,2025-07-07,Mitigate,Conditional access; phishing simulation quarterly.,3.9,20,6000,79500
